,RUNDATE,FY,FM,DOCID,CHKSUBTOT,VCODE,VENDOR,ZIP5,FTYP,FUNDTYPE,DPT,DEPARTMENT,ACTV,ACTIVITY,OGRP,OBJECTGROUP,OBJ,OBJECT,COMM,COMMODITYDSCR,INVOICEDATE,INVOICENUMBER
3141,2023-10-10,2024,1,EFT-BMS-EY240002362,2574555.0,VC22876,Kay Bailey Hutchison Convention Center,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
3172,2023-10-10,2024,1,EFT-BMS-EY240002386,826411.69,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
3340,2023-10-11,2024,1,AD-BMS-AY240000708,500000.0,VS101095,"Asana Partners Select Retail Fund, Lp",28203,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,SATI,Sports Arena Tax Increment Financing District,QV,Contractual & Other Services,3016,Economic Development Grant,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
3418,2023-10-11,2024,1,EFT-BMS-EY240002509,520125.0,343436,Archer-Western Contractors,76006,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
3444,2023-10-11,2024,1,EFT-BMS-EY240002534,1363344.47,519741,The Dallas Convention & Visitors Bureau,75201,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3320,Advertising,,NONE,,
3485,2023-10-11,2024,1,EFT-BMS-EY240002574,379999.43,VC22918,Dallas Convention Center Hotel Development Corporation,75202,EFOP,Enterprise Operating Fund,CCT,Convention And Event Services,CE01,Dallas Convention Center,QV,Contractual & Other Services,3019,Section 380 Grant Expense,,NONE,,
3544,2023-10-11,2024,1,EFT-BMS-EY240002630,390419.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
3545,2023-10-11,2024,1,EFT-BMS-EY240002631,447045.0,VC29235,"Chastang Enterprises - Houston, Llc",77226,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
3552,2023-10-11,2024,1,EFT-BMS-EY240002638,458046.12,VS0000009713,Carahsoft Technology Corp,20190,INSV,Internal Service Fund,DSV,Communication & Info Svcs,TECH,Technology,QV,Contractual & Other Services,3440,IT Cloud Services,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
3733,2023-10-11,2024,1,EFT-BMS-EY240002808,1469258.38,VC22987,Dallas Tourism Public Improvement District,75201,OTEC,Other-Economic Development,ECO,Office Of Economic Development,PIDC,Public Improvement District Collections,QV,Contractual & Other Services,3034,Public Improvement District Mgmt Fee,,NONE,,
3883,2023-10-12,2024,1,EFT-BMS-EY240002887,550496.08,144735,"Camino Construction, L.P. ^",75057,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
3984,2023-10-12,2024,1,EFT-BMS-EY240002991,395630.0,VC27212,"Curbtender, Inc.",50613,OTDB,Other GO CIP  - Debt,SAN,Sanitation Svcs,SS03,Landfill Management,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
4176,2023-10-12,2024,1,EFT-BMS-EY240003178,565984.0,502341,"Kirby-Smith Machinery, Inc.",73137,OTDB,Other GO CIP  - Debt,EFM,Equipment & Fleet Management,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,54500.0,"MACHINERY AND HARDWARE, INDUSTRIAL",,
4238,2023-10-12,2024,1,EFT-BMS-EY240003218,750000.0,956329,"Dallas Symphony Association, Inc.",75201,GNFD,General Fund,OCA,Office Of Cultural Affairs,CULF,Cultural Facilities,QV,Contractual & Other Services,3099,Misc Special Services,91052.0,"MAINTENANCE SERVICES, BUILDING (NOT OTHERWISE CLASSIFIED)",,
4239,2023-10-12,2024,1,EFT-BMS-EY240003219,3837462.0,VC0000008212,Dallas Zoo Management Inc,75203,GNFD,General Fund,PKR,Park & Recreation,PK04,Fair Park Management And Promotion,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
4574,2023-10-13,2024,1,EFT-BMS-EY240003473,435859.84,VS0000069669,"Imperial Construction, Inc.",76086,OTDB,Other GO CIP  - Debt,BSD,Building Services,FIRF,Fire Protection Facilities,RC,Capital Outlay,4310,Buildings,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
4614,2023-10-13,2024,1,EFT-BMS-EY240003513,317027.82,VS0000017816,"Ark Contracting Services, Llc",76060,SWRC,Sewer Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4560,Sanitary Sewers,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
5016,2023-10-16,2024,1,EFT-BMS-EY240003796,570013.57,345379,Omega Contracting Llc,75212,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
5081,2023-10-16,2024,1,EFT-BMS-EY240003858,1669951.0,VC19221,Fair Park First,75210,GNFD,General Fund,PKR,Park & Recreation,PK16,Dallas Zoo and Aquarium,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
5082,2023-10-16,2024,1,EFT-BMS-EY240003859,437500.0,VC19221,Fair Park First,75210,OTGO,Other GO CIP - Non-Debt,PKR,Park & Recreation,PK16,Dallas Zoo and Aquarium,QV,Contractual & Other Services,3899,Other Misc.Exp. & Reimbursement,,NONE,,
5340,2023-10-16,2024,1,EFT-BMS-EY240004113,833708.05,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
5404,2023-10-16,2024,1,EFT-BMS-EY240004166,838671.67,970352,Sabine River Authority Of Tx,75472,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
5430,2023-10-16,2024,1,EFT-BMS-EY240004189,830322.66,VC28897,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
5431,2023-10-16,2024,1,EFT-BMS-EY240004190,432019.69,VC28899,Sabine River Authority Of Texas,77632,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QM,Supplies & Materials,2420,Other Structures,,NONE,,
5489,2023-10-17,2024,1,AD-BMS-AY240001061,762346.3,001003,International Business Machines Corporation,92821,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3440,IT Cloud Services,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
5555,2023-10-17,2024,1,EFT-BMS-EY240004233,377760.0,082798,Casco Industries Inc,75050,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,34574.0,PERSONAL PROTECTIVE EQUIPMENT FOR BLOODBORNE PATHOGENS,,
5619,2023-10-17,2024,1,EFT-BMS-EY240004296,696879.5,263234,"Gts Technology Solutions, Inc",75266,OTDB,Other GO CIP  - Debt,DSV,Communication & Info Svcs,TECH,Technology,QM,Supplies & Materials,2731,Data Processing Equipment,93921.0,"COMPUTERS, DATA PROCESSING EQUIPMENT AND ACCESSORIES (NOT WO",,
5824,2023-10-17,2024,1,EFT-BMS-EY240004481,504864.63,VS0000006690,Delta Dental Insurance Company,94120,INSV,Internal Service Fund,PER,Human Resources,BE15,"Fiscal Management And Administration:  Voluntary Benefits, L",QV,Contractual & Other Services,355C,Voluntary Pmts Employee Dental,,NONE,,
6035,2023-10-17,2024,1,EFT-BMS-EY240004669,2107853.49,VS96112,"Flatiron Constructors, Inc.",75038,AVRC,Aviation Capital Program.commercial paper,AVI,Aviation,AAIP,Airport Improvements,RC,Capital Outlay,4599,Other Improvements-other than Building,92500.0,"ENGINEERING SERVICES, PROFESSIONAL",,
6209,2023-10-18,2024,1,EFT-BMS-EY240004762,532641.6,082798,Casco Industries Inc,75050,GNFD,General Fund,INV,Inventory Purchase,INV1,Inventory,QM,Supplies & Materials,2998,Inventory Purchase,34574.0,PERSONAL PROTECTIVE EQUIPMENT FOR BLOODBORNE PATHOGENS,,
6236,2023-10-18,2024,1,EFT-BMS-EY240004789,651357.76,034034,"Tdindustries, Inc",75234,CVID,COVID-19,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4720,Mach Tools Implem  Major,91450.0,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC)",,
6318,2023-10-18,2024,1,EFT-BMS-EY240004867,1171529.19,340792,"Renda Environmental, Inc.",76262,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW01,Water Treatment,QV,Contractual & Other Services,3072,Contractor Service Fees,92694.0,WATER POLLUTION SERVICES,,
6356,2023-10-18,2024,1,EFT-BMS-EY240004910,518132.0,518741,Houston Freightliner Inc.,77029,OTDB,Other GO CIP  - Debt,EFM,Equipment & Fleet Management,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
6886,2023-10-19,2024,1,EFT-BMS-EY240005342,609672.42,034034,"Tdindustries, Inc",75234,CVID,COVID-19,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4720,Mach Tools Implem  Major,91450.0,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC)",,
6911,2023-10-19,2024,1,EFT-BMS-EY240005367,937970.55,125824,Bar Constructors Inc ^,75146,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
7127,2023-10-19,2024,1,EFT-BMS-EY240005566,487245.54,VC26041,"Tegrity Contractors, Inc.",75013,WTRC,Water Capital Program,DWU,Water Utilities,WCFA,Wholesale Customer Facilities (Funded By Customer Cities),RC,Capital Outlay,4310,Buildings,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
7340,2023-10-20,2024,1,AD-BMS-AY240001330,382627.48,518457,"National Audubon Society, Inc.",75217,GNFD,General Fund,PKR,Park & Recreation,PK09,Park And Recreation Department Community Recreation Centers,QV,Contractual & Other Services,3070,Professional Services,,NONE,,
7353,2023-10-20,2024,1,AD-BMS-AY240001347,545794.0,VC25366,"Lmc Canyon Holdings, Llc",75201,OTGO,Other GO CIP - Non-Debt,ECO,Office Of Economic Development,DGTI,Davis Garden District TIF,QV,Contractual & Other Services,3016,Economic Development Grant,96100.0,"MISCELLANEOUS SERVICES, NO. 1",,
7392,2023-10-20,2024,1,EFT-BMS-EY240005762,565984.0,502341,"Kirby-Smith Machinery, Inc.",73137,OTDB,Other GO CIP  - Debt,EFM,Equipment & Fleet Management,FLTR,Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,54500.0,"MACHINERY AND HARDWARE, INDUSTRIAL",,
7463,2023-10-20,2024,1,EFT-BMS-EY240005827,488391.0,502145,"Shi Government Solutions, Inc",78746,EFOP,Enterprise Operating Fund,DEV,Sustainable Development and Construction,BI11,Department Support - Dev,QV,Contractual & Other Services,3070,Professional Services,92045.0,SOFTWARE MAINTENANCE/SUPPORT,,
7470,2023-10-20,2024,1,EFT-BMS-EY240005834,1021804.32,507202,"Syb Construction Co., Inc. ^",75061,WTRC,Water Capital Program,DWU,Water Utilities,MPSA,"Mains, Pump Stations And Associated Facilities",RC,Capital Outlay,4550,Waterworks Mains,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
7672,2023-10-20,2024,1,EFT-BMS-EY240006032,2022414.18,VS0000064407,"Archer Western Construction, Llc",75038,SWRC,Sewer Capital Program,DWU,Water Utilities,WWTP,Wastewater Treatment Plants And Associated Facilities,RC,Capital Outlay,4730,Inst Apparatus Major,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
7723,2023-10-20,2024,1,EFT-BMS-EY240006084,831610.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4742,Trucks,7003.0,AMBULANCES AND RESCUE VEHICLES,,
7724,2023-10-20,2024,1,EFT-BMS-EY240006085,831610.0,VS90252,"Siddons Martin Emergency Group, Llc",77032,OTDB,Other GO CIP  - Debt,DFD,Dallas Fire Department,DF08,Fire And Rescue Equipment Maintenance,RC,Capital Outlay,4742,Trucks,7003.0,AMBULANCES AND RESCUE VEHICLES,,
7743,2023-10-20,2024,1,EFT-BMS-EY240006100,2635096.11,VS93045,"Johnson Bros. Corporation, A Southland Company",76262,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SRSF,Street Resurfacing,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
7749,2023-10-20,2024,1,EFT-BMS-EY240006106,2986248.3,244607,Oscar Renda Contracting Inc,76262,WTRC,Water Capital Program,DWU,Water Utilities,WTPF,Water Treatment Plants And Associated Facilities,RC,Capital Outlay,4320,Filtration Plants,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
7754,2023-10-20,2024,1,EFT-BMS-EY240006110,1500000.0,VS0000004959,Dallas Center For The Performing Arts Foundation,75201,GNFD,General Fund,OCA,Office Of Cultural Affairs,CULF,Cultural Facilities,QV,Contractual & Other Services,3099,Misc Special Services,95224.0,CULTURAL ADMINISTRATION AND PROMOTION SERVICES,,
7883,2023-10-23,2024,1,EFT-BMS-EY240006184,556532.6,034034,"Tdindustries, Inc",75234,OTGO,Other GO CIP - Non-Debt,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4720,Mach Tools Implem  Major,91450.0,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC)",,
7894,2023-10-23,2024,1,EFT-BMS-EY240006195,983895.0,068563,Trinity River Authority Of Tx,76004,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW04,Wastewater Treatment,QV,Contractual & Other Services,3083,Ww Treatment- Tra,,NONE,,
8049,2023-10-23,2024,1,EFT-BMS-EY240006348,378904.43,518880,Digitech Computer Llc,10514,GNFD,General Fund,DFD,Dallas Fire Department,DF02,Emergency Medical Service,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
8133,2023-10-23,2024,1,EFT-BMS-EY240006432,468704.4,VC26628,R.D. Offutt Company,58102,SANC,Sanitation Capital Program,SAN,Sanitation Svcs,FLTR,San- Fleet Replacement,RC,Capital Outlay,4740,Motor Vehicles Cap,76044.0,"LOADERS, FRONT END (FOR CRAWLER TRACTORS)",,
8263,2023-10-23,2024,1,EFT-BMS-EY240006560,1029925.34,VS93045,"Johnson Bros. Corporation, A Southland Company",76262,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SRSF,Street Resurfacing,QV,Contractual & Other Services,3072,Contractor Service Fees,91200.0,"CONSTRUCTION SERVICES, GENERAL",,
8316,2023-10-23,2024,1,EFT-BMS-EY240006608,2232970.16,VS93045,"Johnson Bros. Corporation, A Southland Company",76262,BP17,2017 General Obligation Bond Program,PBW,Public Works & Transporation,SRSF,Street Resurfacing,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
8505,2023-10-24,2024,1,EFT-BMS-EY240006751,2615255.55,517440,Axon Enterprise Inc.,85255,CVID,COVID-19,DPD,Dallas Police Dept,EANO,Operational Equipment,QM,Supplies & Materials,2890,Miscellaneous Equipment,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
8506,2023-10-24,2024,1,EFT-BMS-EY240006751,1827905.26,517440,Axon Enterprise Inc.,85255,GNFD,General Fund,DPD,Dallas Police Dept,DP30,Police Technology And Technical Support,QV,Contractual & Other Services,3437,Continual Software Lic Fee,20800.0,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),,
10030,2023-10-27,2024,1,AD-BMS-AY240001850,459278.1,VS0000069890,Public Consulting Group Llc,02109,GNFD,General Fund,DFD,Dallas Fire Department,DF02,Emergency Medical Service,QV,Contractual & Other Services,3072,Contractor Service Fees,,NONE,,
10074,2023-10-27,2024,1,EFT-BMS-EY240008005,417765.61,034034,"Tdindustries, Inc",75234,CVID,COVID-19,BSD,Building Services,EB01,"City Facility Operations, Maintenance And Repair",RC,Capital Outlay,4720,Mach Tools Implem  Major,91450.0,"HEATING, VENTILATING AND AIR CONDITIONING (HVAC)",,
10198,2023-10-27,2024,1,EFT-BMS-EY240008129,358841.67,516612,Deloitte Consulting Llp,22209,INSV,Internal Service Fund,DSV,Communication & Info Svcs,IS21,Internal Application Services,QV,Contractual & Other Services,3441,IT Managed Services,91800.0,CONSULTING SERVICES,,
10208,2023-10-27,2024,1,EFT-BMS-EY240008139,609438.0,518741,Houston Freightliner Inc.,77029,EFOP,Enterprise Operating Fund,DWU,Water Utilities,DW20,Water's Price of Doing Business,RC,Capital Outlay,4890,Miscellaneous Equipment Cap,97514.0,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENC,,
